title,score,duration,region,director,actors,img
缉魂,7.1,124分钟,中国大陆 中国台湾,程伟豪,张震 / 张钧甯 / 孙安可,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2629413230.jpg
心灵奇旅,8.9,101分钟,美国,彼特·道格特 凯普·鲍尔斯,杰米·福克斯 / 蒂娜·菲 / 菲利西亚·拉斯海德,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2626308994.jpg
送你一朵小红花,7.4,128分钟,中国大陆,韩延,易烊千玺 / 刘浩存 / 朱媛媛,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2618247457.jpg
许愿神龙,6.8,99分钟,中国大陆 美国 中国香港,克里斯·艾伯翰斯,成龙 / 牛骏峰 / 薇薇安,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2626260539.jpg
拆弹专家2,7.8,121分钟,中国大陆 中国香港,邱礼涛,刘德华 / 刘青云 / 倪妮,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2621379901.jpg
叱咤风云,4.8,105分钟,中国台湾,陈奕先,昆凌 / 曹佑宁 / 范逸臣,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2629944675.jpg
温暖的抱抱,5.6,112分钟,中国大陆,常远,常远 / 李沁 / 沈腾,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2618446242.jpg
崖上的波妞,8.5,101分钟,日本,宫崎骏,奈良柚莉爱 / 土井洋辉 / 山口智子,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.jpg
没有过不去的年,5.7,99分钟,中国大陆,尹力,吴刚 / 吴彦姝 / 江珊,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2628762684.jpg
棒！少年,8.7,108分钟,中国大陆,许慧晶,马虎 / 梁正双 / 张锦新,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2627027305.jpg
神奇女侠1984,6.3,151分钟,美国 英国 西班牙,派蒂·杰金斯,盖尔·加朵 / 克里斯·派恩 / 克里斯汀·韦格,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2626959989.jpg
除暴,6.4,95分钟,中国香港 中国大陆,刘浩良,王千源 / 吴彦祖 / 春夏,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2625777429.jpg
紧急救援,6.3,134分钟,中国大陆 中国香港,林超贤,彭于晏 / 王彦霖 / 辛芷蕾,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2627025706.jpg
长安伏妖,0,113分钟,中国大陆,王凯 李力持,保剑锋 / 克拉拉 / 孙耀威,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2628359497.jpg
隐形人,7.2,124分钟,加拿大 澳大利亚 美国,雷·沃纳尔,伊丽莎白·莫斯 / 奥利弗·杰森-科恩 / 阿尔迪斯·霍吉,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2624945594.jpg
疯狂原始人2,8.0,95分钟,美国,乔尔·克劳福德,尼古拉斯·凯奇 / 艾玛·斯通 / 瑞恩·雷诺兹,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2624607255.jpg
天后小助理,6.4,113分钟,美国,尼萨·加纳特,达科塔·约翰逊 / 翠西·艾利斯·罗斯 / 小凯文·哈里森,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2628309253.jpg
猎杀T34,7.6,126分钟(中国大陆),俄罗斯,阿列克赛·西多洛夫,亚历山大·佩特罗夫 / 文森兹·凯弗 / 伊琳娜·斯达申鲍姆,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2627487532.jpg
点点星光,0,90分钟,中国大陆,谢德炬 黄展昌,朱英瑞 / 钟炜锋 / 李荣欢,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2630482768.jpg
海底小纵队：火焰之环,6.9,80分钟,中国大陆 英国,布莱尔·西蒙斯 周沁,郭盛 / 苏俣 / 方宇,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2626707853.jpg
哆啦A梦：大雄的新恐龙,7.5,110分钟,日本,今井一晓,水田山葵 / 大原惠美 / 嘉数由美,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2624375776.jpg
魔法鼠乐园,0,84分钟,中国大陆,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2627401805.jpg
山路十八湾,0,120分钟,中国大陆,凌学松,郭秋成 / 李彦萱 / 高星豪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2629347839.jpg
金刚川,6.5,122分钟,中国大陆,管虎 郭帆 路阳,张译 / 吴京 / 李九霄,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2623301908.jpg
封口者,0,94分钟,中国大陆,蔡明,左溢 / 安宁 / 裴筝筝 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2619284111.jpg
城市猎人,7.0,89分钟(中国大陆),法国,菲利普·拉肖,菲利普·拉肖 / 艾洛蒂·丰唐 / 塔雷克·布达里,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2626879808.jpg
歌带你回家,0,,中国大陆,谢亮宏,李品夆 / 罗湘晋 / 张捷,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2628992625.jpg
小破孩大状元,0,86分钟,中国大陆,拾荒 郑成峰,小破孩 / 小丫 / 坏坏,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2626586976.jpg
宝可梦：超梦的逆袭 进化,6.4,97分钟(中国大陆),日本,汤山邦彦 榊原幹典,松本梨香 / 大谷育江 / 市村正亲,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2625913008.jpg
如梦晋阳,0,102分钟,中国大陆,吴军,吉丽 / 张哲人 / 李荣东,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2584480499.jpg
野性的呼唤,7.2,100分钟,加拿大 美国 葡萄牙,克里斯·桑德斯,哈里森·福特 / 丹·史蒂文斯 / 凯伦·吉兰,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2624308041.jpg
随风飘散,7.0,96分钟,中国大陆,旦真旺甲,更登彭措 / 索朗旺姆 / 旺卓措,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2620196762.jpg
画个圈圈,0,,中国大陆,王子鸣,郭品超 / 杨恭如 / 周秀娜,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2628041301.jpg
汪汪队立大功之超能救援,6.2,89分钟,美国 加拿大,安德鲁·斯特里梅迪斯,麦克斯·卡林内斯库 / 德文·科恩 / 德鲁·戴维斯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2624458010.jpg
